url_length,domain_age,has_suspicious_tld,has_suspicious_words,count_dots,count_special_chars,has_ip_address,has_https,url_shortening_service,has_at_symbol,redirect_double_slash,label
75,500,0,0,2,1,0,1,0,0,0,0
65,400,0,0,2,0,0,1,0,0,0,0
50,800,0,0,3,0,0,1,0,0,0,0
60,700,0,0,2,0,0,1,0,0,0,0
55,600,0,0,2,1,0,1,0,0,0,0
70,450,0,0,3,0,0,1,0,0,0,0
80,300,0,0,2,0,0,1,0,0,0,0
90,10,1,1,4,3,0,0,0,0,0,1
120,5,1,1,5,4,1,0,1,1,0,1
85,3,1,1,3,2,0,0,1,0,1,1
100,15,1,1,4,3,0,0,0,1,1,1
110,8,1,1,5,2,1,0,0,1,0,1
95,12,1,1,4,3,0,0,1,0,0,1
105,7,1,1,3,2,0,0,0,1,1,1
